Instance-Type , Memory , CPUs , Physical Processor , Network Performance , Linux On Demand cost , Linux Reserved cost
a1.2xlarge , 16.0 GiB , 8 vCPUs , AWS Graviton Processor , Up to 10 Gigabit , $148.92 monthly , $93.80 monthly
a1.4xlarge , 32.0 GiB , 16 vCPUs , AWS Graviton Processor , Up to 10 Gigabit , $297.84 monthly , $187.61 monthly
a1.large , 4.0 GiB , 2 vCPUs , AWS Graviton Processor , Up to 10 Gigabit , $37.23 monthly , $23.43 monthly
a1.medium , 2.0 GiB , 1 vCPUs , AWS Graviton Processor , Up to 10 Gigabit , $18.61 monthly , $11.75 monthly
a1.metal , 32.0 GiB , 16 vCPUs , AWS Graviton Processor , Up to 10 Gigabit , $297.84 monthly , $187.61 monthly
a1.xlarge , 8.0 GiB , 4 vCPUs , AWS Graviton Processor , Up to 10 Gigabit , $74.46 monthly , $46.93 monthly
c1.medium , 1.7 GiB , 2 vCPUs , Intel Xeon Family , Moderate , $94.90 monthly , $66.43 monthly
c1.xlarge , 7.0 GiB , 8 vCPUs , Intel Xeon Family , High , $379.60 monthly , $265.72 monthly
c3.2xlarge , 15.0 GiB , 8 vCPUs , Intel Xeon E5-2680 v2 (Ivy Bridge) , High , $306.60 monthly , $213.16 monthly
c3.4xlarge , 30.0 GiB , 16 vCPUs , Intel Xeon E5-2680 v2 (Ivy Bridge) , High , $613.20 monthly , $426.32 monthly
c3.8xlarge , 60.0 GiB , 32 vCPUs , Intel Xeon E5-2680 v2 (Ivy Bridge) , 10 Gigabit , $1226.40 monthly , $852.64 monthly
c3.large , 3.75 GiB , 2 vCPUs , Intel Xeon E5-2680 v2 (Ivy Bridge) , Moderate , $76.65 monthly , $53.29 monthly
c3.xlarge , 7.5 GiB , 4 vCPUs , Intel Xeon E5-2680 v2 (Ivy Bridge) , Moderate , $153.30 monthly , $106.58 monthly
c4.2xlarge , 15.0 GiB , 8 vCPUs , Intel Xeon E5-2666 v3 (Haswell) , High , $290.54 monthly , $183.96 monthly
c4.4xlarge , 30.0 GiB , 16 vCPUs , Intel Xeon E5-2666 v3 (Haswell) , High , $581.08 monthly , $367.92 monthly
c4.8xlarge , 60.0 GiB , 36 vCPUs , Intel Xeon E5-2666 v3 (Haswell) , 10 Gigabit , $1161.43 monthly , $735.84 monthly
c4.large , 3.75 GiB , 2 vCPUs , Intel Xeon E5-2666 v3 (Haswell) , Moderate , $73.00 monthly , $45.99 monthly
c4.xlarge , 7.5 GiB , 4 vCPUs , Intel Xeon E5-2666 v3 (Haswell) , High , $145.27 monthly , $91.98 monthly
c5.12xlarge , 96.0 GiB , 48 vCPUs , Intel Xeon Platinum 8275L , 12 Gigabit , $1489.20 monthly , $938.05 monthly
c5.18xlarge , 144.0 GiB , 72 vCPUs , Intel Xeon Platinum 8124M , 25 Gigabit , $2233.80 monthly , $1407.44 monthly
c5.24xlarge , 192.0 GiB , 96 vCPUs , Intel Xeon Platinum 8275L , 25 Gigabit , $2978.40 monthly , $1876.10 monthly
c5.2xlarge , 16.0 GiB , 8 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $248.20 monthly , $156.22 monthly
c5.4xlarge , 32.0 GiB , 16 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $496.40 monthly , $312.44 monthly
c5.9xlarge , 72.0 GiB , 36 vCPUs , Intel Xeon Platinum 8124M , 10 Gigabit , $1116.90 monthly , $703.72 monthly
c5.large , 4.0 GiB , 2 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $62.05 monthly , $39.42 monthly
c5.metal , 192.0 GiB , 96 vCPUs , Intel Xeon Platinum 8275L , 25 Gigabit , $2978.40 monthly , $1876.10 monthly
c5.xlarge , 8.0 GiB , 4 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $124.10 monthly , $78.11 monthly
c5d.12xlarge , 96.0 GiB , 48 vCPUs , Intel Xeon Platinum 8275L , 12 Gigabit , $1681.92 monthly , $1060.69 monthly
c5d.18xlarge , 144.0 GiB , 72 vCPUs , Intel Xeon Platinum 8124M , 25 Gigabit , $2522.88 monthly , $1591.40 monthly
c5d.24xlarge , 192.0 GiB , 96 vCPUs , Intel Xeon Platinum 8275L , 25 Gigabit , $3363.84 monthly , $2121.38 monthly
c5d.2xlarge , 16.0 GiB , 8 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $280.32 monthly , $176.66 monthly
c5d.4xlarge , 32.0 GiB , 16 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $560.64 monthly , $353.32 monthly
c5d.9xlarge , 72.0 GiB , 36 vCPUs , Intel Xeon Platinum 8124M , 10 Gigabit , $1261.44 monthly , $795.70 monthly
c5d.large , 4.0 GiB , 2 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $70.08 monthly , $44.53 monthly
c5d.metal , 192.0 GiB , 96 vCPUs , Intel Xeon Platinum 8275L , 25 Gigabit , $3363.84 monthly , $2121.38 monthly
c5d.xlarge , 8.0 GiB , 4 vCPUs , Intel Xeon Platinum 8124M , Up to 10 Gigabit , $140.16 monthly , $88.33 monthly
c5n.18xlarge , 192.0 GiB , 72 vCPUs , Intel Xeon Platinum 8124M , 100 Gigabit , $2838.24 monthly , $1787.77 monthly
c5n.2xlarge , 21.0 GiB , 8 vCPUs , Intel Xeon Platinum 8124M , Up to 25 Gigabit , $315.36 monthly , $198.56 monthly
c5n.4xlarge , 42.0 GiB , 16 vCPUs , Intel Xeon Platinum 8124M , Up to 25 Gigabit , $630.72 monthly , $397.12 monthly
c5n.9xlarge , 96.0 GiB , 36 vCPUs , Intel Xeon Platinum 8124M , 50 Gigabit , $1419.12 monthly , $894.25 monthly
c5n.large , 5.25 GiB , 2 vCPUs , Intel Xeon Platinum 8124M , Up to 25 Gigabit , $78.84 monthly , $49.64 monthly
c5n.metal , 192.0 GiB , 72 vCPUs , Intel Xeon Platinum 8124M , 100 Gigabit , $2838.24 monthly , $1787.77 monthly
c5n.xlarge , 10.5 GiB , 4 vCPUs , Intel Xeon Platinum 8124M , Up to 25 Gigabit , $157.68 monthly , $99.28 monthly
cc2.8xlarge , 60.5 GiB , 32 vCPUs , Intel Xeon E5-2670 , 10 Gigabit , $1460.00 monthly , unavailable
cr1.8xlarge , 244.0 GiB , 32 vCPUs , Intel Xeon E5-2670 , 10 Gigabit , $2555.00 monthly , unavailable
d2.2xlarge , 61.0 GiB , 8 vCPUs , Intel Xeon E5-2676v3 (Haswell) , High , $1007.40 monthly , $586.92 monthly
d2.4xlarge , 122.0 GiB , 16 vCPUs , Intel Xeon E5-2676v3 (Haswell) , High , $2014.80 monthly , $1173.84 monthly
d2.8xlarge , 244.0 GiB , 36 vCPUs , Intel Xeon E5-2676v3 (Haswell) , 10 Gigabit , $4029.60 monthly , $2347.68 monthly
d2.xlarge , 30.5 GiB , 4 vCPUs , Intel Xeon E5-2676v3 (Haswell) , Moderate , $503.70 monthly , $293.46 monthly
f1.16xlarge , 976.0 GiB , 64 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 20 Gigabit , $9636.00 monthly , $6515.25 monthly
f1.2xlarge , 122.0 GiB , 8 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , Up to 10 Gigabit , $1204.50 monthly , $814.68 monthly
f1.4xlarge , 244.0 GiB , 16 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 10 Gigabit , $2409.00 monthly , $1628.63 monthly
g2.2xlarge , 15.0 GiB , 8 vCPUs , Intel Xeon E5-2670 (Sandy Bridge) , High , $474.50 monthly , $346.02 monthly
g2.8xlarge , 60.0 GiB , 32 vCPUs , Intel Xeon E5-2670 (Sandy Bridge) , 10 Gigabit , $1898.00 monthly , $1384.08 monthly
g3.16xlarge , 488.0 GiB , 64 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 20 Gigabit , $3328.80 monthly , $2271.906000 monthly
g3.4xlarge , 122.0 GiB , 16 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , Up to 10 Gigabit , $832.20 monthly , $568.01 monthly
g3.8xlarge , 244.0 GiB , 32 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 10 Gigabit , $1664.40 monthly , $1135.95 monthly
g3s.xlarge , 30.5 GiB , 4 vCPUs , Intel Xeon E5-2686 v4 (Broadwell) , 10 Gigabit , $547.50 monthly , $402.23 monthly
g4dn.12xlarge , 192.0 GiB , 48 vCPUs , Intel Xeon Family , 50 Gigabit , $2855.76 monthly , $1799.45 monthly
g4dn.16xlarge , 256.0 GiB , 64 vCPUs , Intel Xeon Family , 50 Gigabit , $3176.96 monthly , $2001.66 monthly
g4dn.2xlarge , 32.0 GiB , 8 vCPUs , Intel Xeon Family , Up to 25 Gigabit , $548.96 monthly , $346.02 monthly
g4dn.4xlarge , 64.0 GiB , 16 vCPUs , Intel Xeon Family , Up to 25 Gigabit , $878.92 monthly , $554.07 monthly
